instruction,input,output
What is the main point about AMBASSADOR?,,CANADIAN AMBASSADOR'S RESIDENCE - LIVING ROOM - 95 NIGHT Lee Schatz and Bob Anders play poker in a room decorated with Persian carpets and mosaics.
What is the main point about gunfire?,,The gunfire audible here too.
What is the main point about cards?,,Staring at their cards.
Who or what is LEE SCHATZ 50?,,LEE SCHATZ 50 caliber? BOB ANDERS Mmm.
What is the main point about LEE?,,LEE SCHATZ 50 caliber? BOB ANDERS Mmm.
When did the events related to 35 occur?,,"50, 35."
When did the events related to 95A occur?,,95A INT.
What is the main point about INT?,,95A INT.
Who or what is Pat Taylor?,,"CANADIAN AMBASSADOR'S RESIDENCE - DINING ROOM - 95A NIGHT Pat Taylor helps THE SAME WOMAN we just saw, SAHAR, 20s, clear the table."
Who or what is SAHAR?,,"CANADIAN AMBASSADOR'S RESIDENCE - DINING ROOM - 95A NIGHT Pat Taylor helps THE SAME WOMAN we just saw, SAHAR, 20s, clear the table."
When did the events related to 20s occur?,,"AMBASSADOR'S RESIDENCE - DINING ROOM - 95A NIGHT Pat Taylor helps THE SAME WOMAN we just saw, SAHAR, 20s, clear the table."
What is the main point about AMBASSADOR?,,"CANADIAN AMBASSADOR'S RESIDENCE - DINING ROOM - 95A NIGHT Pat Taylor helps THE SAME WOMAN we just saw, SAHAR, 20s, clear the table."
What is the main point about housekeeper?,,She is their housekeeper.
Who or what is Canada?,,"SAHAR Your friends from Canada, ma'am."
What is the main point about SAHAR?,,"SAHAR Your friends from Canada, ma'am."
What is the main point about time?,,All this time.
What is the main point about moment?,,A significant moment of eye contact.
Who or what is Sahar gs?,,Then Sahar gs back to clearing the table.
What is the main point about Sahar?,,Then Sahar gs back to clearing the table.
Who or what is INT?,,96 INT.
What is the main point about INT?,,96 INT.
Who or what is Kathy Stafford?,,CANADIAN AMBASSADOR'S RESIDENCE - KITCHEN - LATER 96 Kathy Stafford is roughly washing wine glasses at the sink.
What is the main point about AMBASSADOR?,,CANADIAN AMBASSADOR'S RESIDENCE - KITCHEN - LATER 96 Kathy Stafford is roughly washing wine glasses at the sink.
What is the main point about J?,,J STAFFORD You've washed them three times.
What is the main point about arm?,,He puts his arm on her shoulder.
What is the main point about ARGO?,,ARGO - Final 34.
Who or what is INT?,,97 INT.
What is the main point about INT?,,97 INT.
Who or what is Ken Taylor?,,CANADIAN AMBASSADOR'S RESIDENCE - BATHROOM - NIGHT 97 Ken Taylor is brushing his teeth in the mirror.
What is the main point about AMBASSADOR?,,CANADIAN AMBASSADOR'S RESIDENCE - BATHROOM - NIGHT 97 Ken Taylor is brushing his teeth in the mirror.
Who or what is Pat?,,Pat comes in.
What is the main point about Pat?,,Pat comes in.
Who or what is PAT TAYLOR Sahar?,,PAT TAYLOR Sahar knows.
What is the main point about PAT?,,PAT TAYLOR Sahar knows.
Who or what is EXT?,,98 EXT.
What is the main point about EXT?,,98 EXT.
Who or what is Warner Bros.?,,"BURBANK - AFTERNOON 98 The water tower on Warner Bros. studio -- which in 1980 read, Burbank Studios."
When did the events related to 1980 occur?,,"BURBANK - AFTERNOON 98 The water tower on Warner Bros. studio -- which in 1980 read, Burbank Studios."
Who or what is Burbank Studios?,,"BURBANK - AFTERNOON 98 The water tower on Warner Bros. studio -- which in 1980 read, Burbank Studios."
What is the main point about BURBANK?,,"BURBANK - AFTERNOON 98 The water tower on Warner Bros. studio -- which in 1980 read, Burbank Studios."
Who or what is INT?,,99 INT.
What is the main point about INT?,,99 INT.
Who or what is Chambers?,,CHAMBERS' STUDIO - AFTERNOON 99 Chambers leads Mendez into his makeup studio and starts to open windows.
What is the main point about CHAMBERS?,,CHAMBERS' STUDIO - AFTERNOON 99 Chambers leads Mendez into his makeup studio and starts to open windows.
What is the main point about studio?,,"Around the studio: stunt double-masks, deformed monster foreheads, dental implants on shelves."
What is the main point about Planet?,,Planet of the Apes prosthetics.
Who or what is Spock?,,Mr. Spock ears on Styrofoam stands.
Who or what is Styrofoam?,,Mr. Spock ears on Styrofoam stands.
What is the main point about Mr.?,,Mr. Spock ears on Styrofoam stands.
Who or what is Chambers?,,(Chambers created all these -- really.) MENDEZ What are you shooting? CHAMBERS A monster movie.
What is the main point about Chambers?,,(Chambers created all these -- really.) MENDEZ What are you shooting? CHAMBERS A monster movie.
What is the main point about good?,,MENDEZ Any good? CHAMBERS The target audience will hate it.
What is the main point about MENDEZ?,,MENDEZ Who's the target audience? CHAMBERS People with eyes.
What is the main point about MENDEZ?,,MENDEZ It's an exfil.
What is the main point about CHAMBERS?,,CHAMBERS From where? MENDEZ Worst place you can think of.
What is the main point about CHAMBERS?,,CHAMBERS Universal City.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 35.
Who or what is Newsweek?,,99 CONTINUED: 99 Mendez picks up a Newsweek magazine under a can of Tab on a makeup table: blindfolded Iran hostages on the cover.
Who or what is Tab?,,99 CONTINUED: 99 Mendez picks up a Newsweek magazine under a can of Tab on a makeup table: blindfolded Iran hostages on the cover.
Who or what is Iran?,,CONTINUED: 99 Mendez picks up a Newsweek magazine under a can of Tab on a makeup table: blindfolded Iran hostages on the cover.
What is the main point about CONTINUED?,,99 CONTINUED: 99 Mendez picks up a Newsweek magazine under a can of Tab on a makeup table: blindfolded Iran hostages on the cover.
What is the main point about Chambers?,,Chambers takes it in for a moment -- the gravity of it.
When did the events related to Six occur?,,CHAMBERS How you getting in the embassy? MENDEZ Six got away.
What is the main point about CHAMBERS?,,CHAMBERS How you getting in the embassy? MENDEZ Six got away.
What is the main point about city?,,They're hiding in the city.
What is the main point about CHAMBERS?,,CHAMBERS What am I making? MENDEZ I need you to help me make a fake movie.
What is the main point about CHAMBERS?,,CHAMBERS You've come to the right place.
What is the main point about MENDEZ?,,MENDEZ I need to set up a production company and build a cover around making a movie.
What is the main point about CHAMBERS?,,CHAMBERS That we're not going to make.
Who or what is Hollywood?,,MENDEZ No. CHAMBERS You want to go around Hollywood acting like you're an important person in the movie business.
What is the main point about MENDEZ?,,MENDEZ No. CHAMBERS You want to go around Hollywood acting like you're an important person in the movie business.
What is the main point about MENDEZ?,,MENDEZ That's right.
What is the main point about CHAMBERS?,,CHAMBERS But you don't want to actually do anything.
What is the main point about MENDEZ?,,MENDEZ No. CHAMBERS You'll fit right in.
What is the main point about ARGO?,,ARGO - Final 36.
Who or what is INT?,,100 INT.
What is the main point about INT?,,100 INT.
Who or what is SMOKE HOUSE - AFTERNOON 100?,,SMOKE HOUSE - AFTERNOON 100 A couple of empty highball glasses on the table.
What is the main point about HOUSE?,,SMOKE HOUSE - AFTERNOON 100 A couple of empty highball glasses on the table.
What is the main point about Chambers?,,Chambers is looking at PHOTOGRAPHS of the SIX.
Who or what is Mendez?,,Mendez is taking notes.
What is the main point about Mendez?,,Mendez is taking notes.
Who or what is Cora Lijek?,,On a photo of Cora Lijek.
What is the main point about photo?,,On a photo of Cora Lijek.
Who or what is M.A.?,,CHAMBERS This one's got an M.A. in English.
What is the main point about CHAMBERS?,,CHAMBERS This one's got an M.A. in English.
What is the main point about screenwriter?,,She should be your screenwriter.
What is the main point about scouts?,,Sometimes they go on scouts cause they want the free meals.
Who or what is Bob Anders?,,(re: Bob Anders) This guy's the director.
What is the main point about Bob?,,(re: Bob Anders) This guy's the director.
When did the events related to a day occur?,,MENDEZ Can you teach a guy how to be a director in a day? CHAMBERS You can teach a rhesus monkey to be a director in a day.
When did the events related to a day occur?,,MENDEZ Can you teach a guy how to be a director in a day? CHAMBERS You can teach a rhesus monkey to be a director in a day.
What is the main point about MENDEZ?,,MENDEZ Can you teach a guy how to be a director in a day? CHAMBERS You can teach a rhesus monkey to be a director in a day.
What is the main point about Khomaniacs?,,"The Khomaniacs are fruit loops, but they have cousins selling eight tracks and prayer rugs on La Brea."
What is the main point about cover?,,You can't build cover stories around a movie that dsn't exist.
What is the main point about script?,,You need a script.
What is the main point about producer?,,You need a producer.
What is the main point about MENDEZ?,,MENDEZ I'm the producer.
What is the main point about CHAMBERS?,,"CHAMBERS No, you're not."
What is the main point about dollar?,,"If it's a twenty-million dollar Star Wars rip-off, you need somebody who's a somebody to put his name on it."
What is the main point about 70s?,,Here we see some AUTOGRAPHED 70s CELEBRITY 8X10s hanging on the wall.
What is the main point about waiter?,,The waiter brings a bill.
Who or what is CHAMBERS Somebody?,,CHAMBERS Somebody respectable.
What is the main point about CHAMBERS?,,CHAMBERS Somebody respectable.
What is the main point about credits?,,With credits.
What is the main point about information?,,Who we can trust with classified information.
What is the main point about movie?,,Who'll produce a fake movie.
Who or what is EXT?,,101 EXT.
What is the main point about EXT?,,101 EXT.
Who or what is BEVERLY HILLS - EVENING?,,BEVERLY HILLS - EVENING 101 They walk up the driveway of a 70s Bel Air home.
When did the events related to 70s occur?,,BEVERLY HILLS - EVENING 101 They walk up the driveway of a 70s Bel Air home.
What is the main point about BEVERLY?,,BEVERLY HILLS - EVENING 101 They walk up the driveway of a 70s Bel Air home.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 37.
Who or what is SIEGEL?,,"101 CONTINUED: 101 SIEGEL (V.O.) Yeah, come in."
Who or what is V.O.?,,"101 CONTINUED: 101 SIEGEL (V.O.) Yeah, come in."
What is the main point about CONTINUED?,,"101 CONTINUED: 101 SIEGEL (V.O.) Yeah, come in."
What is the main point about INT?,,102 INT.
Who or what is SIEGEL HOUSE - HALLWAY - EVENING?,,"SIEGEL HOUSE - HALLWAY - EVENING 102 And there's LESTER SIEGEL, a semi-legendary producer in his semi-legendary seventies."
What is the main point about HOUSE?,,"SIEGEL HOUSE - HALLWAY - EVENING 102 And there's LESTER SIEGEL, a semi-legendary producer in his semi-legendary seventies."
Who or what is bookie?,,He's equal parts bookie and rabbi.
What is the main point about parts?,,He's equal parts bookie and rabbi.
What is the main point about father?,,His father sold perfume on the Lower East Side.
Who or what is Lester?,,Lester is halfway to dressed in a tuxedo.
What is the main point about Lester?,,Lester is halfway to dressed in a tuxedo.
Who or what is SIEGEL?,,SIEGEL (SHAKES HANDS) I only got a couple minutes.
When did the events related to a couple minutes occur?,,SIEGEL (SHAKES HANDS) I only got a couple minutes.
What is the main point about SIEGEL?,,SIEGEL (SHAKES HANDS) I only got a couple minutes.
When did the events related to tonight occur?,,I'm getting a lifetime achievement award tonight.
What is the main point about lifetime?,,I'm getting a lifetime achievement award tonight.
Who or what is CHAMBERS Mazel?,,"CHAMBERS Mazel tov, Lester."
Who or what is Lester?,,"CHAMBERS Mazel tov, Lester."
What is the main point about CHAMBERS?,,"CHAMBERS Mazel tov, Lester."
Who or what is SIEGEL Aaah?,,"SIEGEL Aaah, I'd rather stay home and count the wrinkles on my dog's balls."
What is the main point about SIEGEL?,,"SIEGEL Aaah, I'd rather stay home and count the wrinkles on my dog's balls."
What is the main point about fuckin?,,These fuckin' things are like getting measured for your coffin.
What is the main point about award?,,Let's give him an honorary award.' TIME CUT TO: 103 INT.
Who or what is SIEGEL?,,SIEGEL'S DEN - ANGLE ON TV - TED KOPPEL - EVENING 103 Reporting on Iran.
Who or what is DEN - ANGLE ON TV - TED KOPPEL - EVENING?,,SIEGEL'S DEN - ANGLE ON TV - TED KOPPEL - EVENING 103 Reporting on Iran.
Who or what is Iran?,,SIEGEL'S DEN - ANGLE ON TV - TED KOPPEL - EVENING 103 Reporting on Iran.
What is the main point about SIEGEL?,,SIEGEL'S DEN - ANGLE ON TV - TED KOPPEL - EVENING 103 Reporting on Iran.
Who or what is SIEGEL?,,SIEGEL (O.S.) A little experiment.
Who or what is O.S.?,,SIEGEL (O.S.) A little experiment.
What is the main point about SIEGEL?,,SIEGEL (O.S.) A little experiment.
Who or what is Golden Globes?,,The TV we're watching sits in a room with a couple of Golden Globes and pictures of a younger Lester.
Who or what is Lester?,,The TV we're watching sits in a room with a couple of Golden Globes and pictures of a younger Lester.
What is the main point about TV?,,The TV we're watching sits in a room with a couple of Golden Globes and pictures of a younger Lester.
Who or what is ON TV?,,"ANOTHER ANGLE SIEGEL Six people in the middle of a city of, what, four million -- ON TV, a wild-eyed woman in the crowd (in one of the most widely-played clips of the hostage crisis) makes"
What is the main point about ANGLE?,,"ANOTHER ANGLE SIEGEL Six people in the middle of a city of, what, four million -- ON TV, a wild-eyed woman in the crowd (in one of the most widely-played clips of the hostage crisis) makes an ax- falling gesture with her arm repeatedly."
When did the events related to the livelong day occur?,,(CONTINUED) ARGO - Final 38. 103 CONTINUED: 103 SIEGEL -- who chant Death to America' all the livelong day.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 38. 103 CONTINUED: 103 SIEGEL -- who chant Death to America' all the livelong day.
When did the events related to a week occur?,,You wanna set up a picture in a week.
What is the main point about picture?,,You wanna set up a picture in a week.
What is the main point about Lie?,,Lie to a whole town of people who lie for a living.
Who or what is Have Double-O-Seven?,,Have Double-O-Seven here sneak into a country that wants CIA blood with their breakfast cereal.
Who or what is CIA?,,Have Double-O-Seven here sneak into a country that wants CIA blood with their breakfast cereal.
What is the main point about O?,,Have Double-O-Seven here sneak into a country that wants CIA blood with their breakfast cereal.
What is the main point about Duck?,,Duck Iranian intelligence.
What is the main point about Brady?,,Then walk the Brady Bunch out of the most watched city in the world...
Who or what is Komiteh?,,MENDEZ ... and past a hundred Komiteh at the airport.
